epoch,accuracy,dice_class1,dice_class2,dice_class3,learning_rate,loss,mean_io_u,val_accuracy,val_dice_class1,val_dice_class2,val_dice_class3,val_loss,val_mean_io_u
0,0.9333475232124329,0.13035516440868378,0.5499996542930603,0.459647536277771,9.999999747378752e-05,0.5380982756614685,0.375,0.9431958794593811,0.0016107046976685524,3.200178616680205e-05,0.00011321115016471595,0.7823798656463623,0.375
1,0.9722617864608765,0.23387965559959412,0.6539660096168518,0.63263338804245,9.999999747378752e-05,0.26409927010536194,0.375,0.9431958794593811,0.0016107046976685524,3.200178616680205e-05,0.00011321115016471595,0.5169937610626221,0.375
2,0.9761091470718384,0.35444286465644836,0.7040130496025085,0.6748082041740417,9.999999747378752e-05,0.20315401256084442,0.375,0.9440906643867493,0.0016107046976685524,0.034336358308792114,0.00011321115016471595,0.37549343705177307,0.375
3,0.9787992835044861,0.4269821047782898,0.7180309295654297,0.7353504300117493,9.999999747378752e-05,0.16653427481651306,0.375,0.9624326229095459,0.15109190344810486,0.36421290040016174,0.29697248339653015,0.24647648632526398,0.375
4,0.9775854349136353,0.48718124628067017,0.7031392455101013,0.7121778726577759,9.999999747378752e-05,0.15373550355434418,0.375,0.932313859462738,0.44600895047187805,0.4944044053554535,0.5155357718467712,0.37547066807746887,0.375
5,0.9800711274147034,0.5567654967308044,0.7373293042182922,0.7414326667785645,9.999999747378752e-05,0.1314627230167389,0.375,0.9731975793838501,0.4655161499977112,0.4841749966144562,0.6438944935798645,0.1650206297636032,0.375
6,0.9812823534011841,0.6041491627693176,0.7562618255615234,0.7549918293952942,9.999999747378752e-05,0.1182500571012497,0.375,0.9042161107063293,0.5111305713653564,0.6223332285881042,0.5646143555641174,0.5768640041351318,0.375
7,0.9833821058273315,0.6448497176170349,0.779092013835907,0.7774525284767151,9.999999747378752e-05,0.10285729169845581,0.375,0.9459342956542969,0.5238316059112549,0.6026844382286072,0.6608569025993347,0.2767897844314575,0.375
8,0.9834913015365601,0.6512172222137451,0.7856802940368652,0.7878308892250061,9.999999747378752e-05,0.09588661789894104,0.375,0.9306509494781494,0.5208173990249634,0.5432472825050354,0.6033055782318115,0.36119651794433594,0.375
9,0.9843466281890869,0.646689772605896,0.7894014716148376,0.7870428562164307,9.999999747378752e-05,0.08876015990972519,0.375,0.9517954587936401,0.5588206052780151,0.6361480355262756,0.7073228359222412,0.22406511008739471,0.375
10,0.9848987460136414,0.6757790446281433,0.801494300365448,0.7871187329292297,9.999999747378752e-05,0.08213973790407181,0.375,0.9535030126571655,0.614916980266571,0.6603129506111145,0.700681209564209,0.21750886738300323,0.375
11,0.9855859279632568,0.6861703395843506,0.8059391975402832,0.80823814868927,9.999999747378752e-05,0.07651212811470032,0.375,0.9703752994537354,0.575421929359436,0.6087313890457153,0.6899564862251282,0.1440410166978836,0.375
12,0.985100507736206,0.693999171257019,0.8049224615097046,0.7974388599395752,9.999999747378752e-05,0.07742070406675339,0.375,0.9308682084083557,0.5392861366271973,0.5667259097099304,0.6168932914733887,0.32714226841926575,0.375
13,0.9853673577308655,0.6719420552253723,0.8124733567237854,0.8040076494216919,9.999999747378752e-05,0.07414964586496353,0.375,0.9449167847633362,0.6018722653388977,0.6352565884590149,0.6924229860305786,0.2644497752189636,0.375
14,0.9855106472969055,0.7287099361419678,0.8123005032539368,0.8177361488342285,9.999999747378752e-05,0.07161390036344528,0.375,0.9551301598548889,0.6131453514099121,0.6324066519737244,0.7272470593452454,0.20165245234966278,0.375
15,0.9855750799179077,0.665091872215271,0.8113552927970886,0.7995330095291138,9.999999747378752e-05,0.07039476931095123,0.375,0.9526475071907043,0.5743023753166199,0.6367080807685852,0.6864320635795593,0.2578301727771759,0.375
16,0.9870525598526001,0.7178595066070557,0.8363441228866577,0.8152021765708923,9.999999747378752e-05,0.06227664649486542,0.375,0.9416824579238892,0.5938099026679993,0.6394397616386414,0.6762075424194336,0.2835123538970947,0.375
17,0.9861269593238831,0.6993181705474854,0.8187963962554932,0.8171956539154053,9.999999747378752e-05,0.06604261696338654,0.375,0.9506997466087341,0.5478814244270325,0.5909229516983032,0.7592993378639221,0.204298198223114,0.375
18,0.9873597025871277,0.7170811295509338,0.8370663523674011,0.8243564367294312,9.999999747378752e-05,0.05937858670949936,0.375,0.9545088410377502,0.6414201259613037,0.6784155368804932,0.7418343424797058,0.2025356888771057,0.375
19,0.988116443157196,0.7399919629096985,0.8414518237113953,0.8326854109764099,9.999999747378752e-05,0.055081628262996674,0.375,0.9626531004905701,0.6081549525260925,0.6777927279472351,0.7505587339401245,0.16773778200149536,0.375
20,0.987719714641571,0.7235429286956787,0.8382457494735718,0.8395171165466309,9.999999747378752e-05,0.056446623057127,0.375,0.970818817615509,0.6206427216529846,0.6469903588294983,0.734234631061554,0.13261473178863525,0.375
21,0.9880845546722412,0.7390005588531494,0.8459599018096924,0.8373907208442688,9.999999747378752e-05,0.054259948432445526,0.375,0.9430307745933533,0.5835768580436707,0.6907854080200195,0.7047029733657837,0.27840477228164673,0.375
22,0.9881312847137451,0.7340379357337952,0.8492475152015686,0.834298312664032,9.999999747378752e-05,0.05337146669626236,0.375,0.9692927002906799,0.6071425676345825,0.7027191519737244,0.7553277015686035,0.13583309948444366,0.375
23,0.9886030554771423,0.7404976487159729,0.8534532189369202,0.8413987755775452,9.999999747378752e-05,0.05108487606048584,0.375,0.9668421149253845,0.6670812964439392,0.6956215500831604,0.7904846668243408,0.14139261841773987,0.375
24,0.9886243343353271,0.7412870526313782,0.8513178825378418,0.839891791343689,9.999999747378752e-05,0.050432030111551285,0.375,0.9670825004577637,0.6085647344589233,0.6968270540237427,0.7558474540710449,0.1413622349500656,0.375
25,0.9892610311508179,0.7597976922988892,0.8646482229232788,0.8538908958435059,9.999999747378752e-05,0.04775156453251839,0.375,0.967221736907959,0.6619248390197754,0.7066702842712402,0.7641521096229553,0.14357396960258484,0.375
26,0.9875414371490479,0.7525994777679443,0.8381548523902893,0.8332939743995667,9.999999747378752e-05,0.05476821959018707,0.375,0.9710041284561157,0.6138409972190857,0.6895801424980164,0.7477135062217712,0.13039155304431915,0.375
27,0.9887109994888306,0.7505412101745605,0.8575654029846191,0.8472673892974854,9.999999747378752e-05,0.04871973395347595,0.375,0.9654316902160645,0.6087505221366882,0.686145007610321,0.7701193690299988,0.14514663815498352,0.375
28,0.9889485239982605,0.7519778609275818,0.8633167743682861,0.8457915782928467,9.999999747378752e-05,0.047854598611593246,0.375,0.9718174934387207,0.6858250498771667,0.7058548331260681,0.7676905989646912,0.12010644376277924,0.375
29,0.9894170165061951,0.7796270847320557,0.8626848459243774,0.8525022864341736,9.999999747378752e-05,0.04564954712986946,0.375,0.9786409735679626,0.6455041170120239,0.7205911874771118,0.7720613479614258,0.09320136904716492,0.375
30,0.989469587802887,0.7722347378730774,0.8682681918144226,0.8515324592590332,9.999999747378752e-05,0.04511437565088272,0.375,0.9697596430778503,0.6474995613098145,0.7001975178718567,0.8087154030799866,0.1254364252090454,0.375
31,0.9900087714195251,0.78656005859375,0.8679185509681702,0.8620933294296265,9.999999747378752e-05,0.04264894500374794,0.375,0.9600663185119629,0.6632922291755676,0.6961039304733276,0.7889771461486816,0.17765037715435028,0.375
32,0.9898220300674438,0.7710496783256531,0.8712161183357239,0.8601948618888855,9.999999747378752e-05,0.04314013943076134,0.375,0.9704169034957886,0.6238390803337097,0.6663947105407715,0.758566677570343,0.12268581241369247,0.375
33,0.9901635646820068,0.7809372544288635,0.8753416538238525,0.8619106411933899,9.999999747378752e-05,0.04164319857954979,0.375,0.9770587682723999,0.6788774728775024,0.6935045719146729,0.801715075969696,0.09882201999425888,0.375
34,0.9902356863021851,0.7931662797927856,0.8789582848548889,0.8680912256240845,9.999999747378752e-05,0.04120006039738655,0.375,0.9644808173179626,0.6636603474617004,0.7098512053489685,0.7723831534385681,0.16106145083904266,0.375
35,0.9902921915054321,0.7957320213317871,0.8764386773109436,0.8696216344833374,9.999999747378752e-05,0.04066289961338043,0.375,0.9750929474830627,0.6648980975151062,0.6800624132156372,0.7554432153701782,0.10993944853544235,0.375
36,0.9905046224594116,0.7892406582832336,0.8794662952423096,0.8626670241355896,9.999999747378752e-05,0.03976265713572502,0.375,0.981339156627655,0.6721822619438171,0.665710985660553,0.7778371572494507,0.08506107330322266,0.375
37,0.9904338121414185,0.7801428437232971,0.8756958246231079,0.8622355461120605,9.999999747378752e-05,0.03984929248690605,0.375,0.97489994764328,0.6309345364570618,0.6840503215789795,0.8009882569313049,0.1077110692858696,0.375
38,0.990581214427948,0.7955138683319092,0.8784810900688171,0.8705888390541077,9.999999747378752e-05,0.039170797914266586,0.375,0.9751394987106323,0.6244906783103943,0.7270193099975586,0.7845782041549683,0.10886021703481674,0.375
39,0.9909002184867859,0.8010924458503723,0.8812399506568909,0.8729796409606934,9.999999747378752e-05,0.03789156302809715,0.375,0.9814861416816711,0.6782782673835754,0.7178835868835449,0.8057270646095276,0.08325286954641342,0.375
40,0.991159200668335,0.7992897629737854,0.8899637460708618,0.8724861145019531,9.999999747378752e-05,0.036608222872018814,0.375,0.973250687122345,0.6974793672561646,0.7382553219795227,0.7985234260559082,0.11616668850183487,0.375
41,0.9909718036651611,0.7969968318939209,0.8853631615638733,0.8702090382575989,9.999999747378752e-05,0.0371854193508625,0.375,0.9827708005905151,0.6554586887359619,0.7010690569877625,0.7672210335731506,0.0809384137392044,0.375
42,0.9907055497169495,0.7789244055747986,0.8839461803436279,0.8708698749542236,9.999999747378752e-05,0.0380050428211689,0.375,0.9823426604270935,0.6953721642494202,0.7209986448287964,0.8197073936462402,0.07922385632991791,0.375
