train_loss,val_loss,train_dice,val_dice,train_jaccard,val_jaccard
1.3565686419235534,1.2910106883329504,0.3338943,0.48395932,0.23055144,0.33459306
1.2431310000111215,1.194053425508387,0.55377454,0.604033,0.4021753,0.45113298
1.1590365972091903,1.1176875969942879,0.60716116,0.6474354,0.4514746,0.49330398
1.090660978312516,1.054725087740842,0.61718214,0.69452375,0.45855212,0.53942156
1.0310055222084273,0.9937593796673942,0.62179434,0.6030809,0.46345866,0.44436356
0.9716180764620577,0.9308402783730451,0.6416362,0.6088877,0.4846061,0.45091778
0.9007770730488336,0.8457179192234489,0.65482813,0.670671,0.50388986,0.51965827
0.8226414358437951,0.7506234295227948,0.6297806,0.714296,0.47590056,0.5657508
0.7033489276817189,0.6156505442717496,0.7004437,0.8035106,0.5591579,0.6765598
0.5682135142793703,0.4823441382716684,0.75310564,0.75655586,0.62178296,0.62128925
0.44383301619273513,0.42106858816216974,0.78357315,0.76755667,0.6591214,0.63156843
0.3685826097258288,0.32217516092693105,0.7849349,0.7868257,0.66114426,0.6696349
0.3096027309399339,0.29499756281866746,0.79667467,0.77948445,0.6772563,0.65604025
0.27768843613602034,0.2439647689461708,0.80317056,0.82550776,0.6841094,0.7079799
0.2538288658975962,0.23448250881012747,0.81179035,0.82062304,0.69482404,0.7019575
0.23142884449282689,0.2197944123078795,0.8218117,0.824644,0.70788044,0.7089063
0.22685069494431293,0.2045060479465653,0.81860155,0.8356147,0.70414704,0.72329265
0.21300206459428542,0.19026768141809633,0.8262354,0.84553766,0.71379507,0.7372351
0.19947007139079012,0.2204643113209921,0.8359656,0.8106808,0.7272816,0.69057286
0.2157662441926216,0.19007590237785787,0.8166036,0.83924264,0.7015906,0.7296339
0.22077181186545547,0.2038014868603033,0.8093576,0.82504994,0.69786674,0.7074948
0.20223756038134372,0.1877012616571258,0.82476974,0.8365143,0.7113257,0.72445744
0.19746489767263184,0.178043733624851,0.8277987,0.8446196,0.71665263,0.73625326
0.18484864676769694,0.17983913706506,0.83877444,0.8403327,0.7306332,0.73201704
0.1794000625313811,0.1742828755694277,0.8430747,0.8453552,0.73603964,0.73871076
0.17573397591784226,0.19607981140999234,0.84545684,0.82250184,0.74002385,0.7123843
0.17512255480781716,0.18552071272450335,0.84495527,0.8339251,0.7389997,0.7254632
0.17386273707990624,0.18121161574826522,0.84579164,0.8359413,0.74024016,0.7273032
0.16166710888790847,0.17042919993400574,0.85718554,0.84641427,0.75638103,0.7401742
0.15855456236286544,0.16680864529574618,0.86004615,0.85000217,0.7603172,0.74527097
0.158233894730237,0.16793972056578188,0.86031055,0.84890604,0.76065516,0.7436501
0.15693148540620186,0.16516740116126397,0.8616283,0.851432,0.7626076,0.74746
0.15549421903505847,0.16326013864839778,0.8629056,0.8533657,0.76447034,0.7500317
0.15473940985193893,0.16284307289649458,0.863661,0.8537359,0.76552755,0.7505275
0.1541573887144155,0.1592322736978531,0.86417234,0.85736126,0.7663744,0.7553106
0.15340344027722652,0.16304532394689672,0.864762,0.8537372,0.7670463,0.75132716
0.15328773175973204,0.16055475241121123,0.8648408,0.8561393,0.76703197,0.75371605
0.15213068000119717,0.15848813994842417,0.8658003,0.85792387,0.7686555,0.7565527
0.15177247938306176,0.15892456406179598,0.86614335,0.857504,0.7690916,0.7559469
0.1509510691634458,0.16023045055129947,0.8668134,0.85604906,0.77013296,0.7545127
0.1504618903223555,0.15638935916564045,0.8672144,0.86001176,0.77058524,0.75945044
0.14991939088227738,0.15777304242638981,0.8677282,0.8584458,0.7715398,0.7575938
0.14996222102671714,0.15647876437972574,0.86745083,0.8595544,0.7709876,0.75934356
0.1494606187131571,0.1576956677086213,0.8680184,0.8582831,0.77183276,0.75738287
0.1475134032468001,0.15650841528001955,0.8696566,0.85946226,0.77432966,0.7590767
0.14729158958392358,0.156390839639832,0.86988413,0.85955256,0.77463174,0.7592999
0.14719022417542946,0.15613328972283533,0.8700343,0.85981405,0.77484447,0.75965446
0.1470994435584367,0.15590465879615614,0.8700765,0.86004806,0.7749421,0.7600169
0.14699039311699608,0.1561057357227101,0.87025005,0.85984594,0.7751319,0.7597698
0.1469689122591149,0.15670444137033293,0.87022436,0.8592162,0.775136,0.75896055
